"Daily Weather Observations for Canberra, Australian Capital Territory for February 2020",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Saturday  7 March 2020   IDCJDW2801.202002,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/02/2020,25.5,42.7,0,,,W,61,13:04,34.5,28,,NNW,30,1011.7,40.5,17,1,WNW,33,1008.2
2/02/2020,26.7,33.7,0,,,W,59,15:29,32.2,37,,WNW,24,1007.6,31.2,48,1,WNW,30,1006.4
3/02/2020,15.3,29.2,0,,,WNW,52,11:43,20.2,44,,NW,24,1007.2,27.7,17,,W,33,1004.4
4/02/2020,7,25.3,0,,,E,44,17:06,12.8,41,,S,20,1019.3,24,18,,E,19,1017
5/02/2020,10,29.1,0,,,E,52,17:48,16.2,65,,N,4,1020.3,27.5,25,,NW,9,1015
6/02/2020,15.7,25.4,0,,,ENE,41,16:47,18.4,70,8,SE,13,1022,24.6,43,8,ENE,20,1020.1
7/02/2020,16.4,23.7,0.8,,,E,54,17:54,18.4,90,8,SSE,13,1021.5,21.2,68,8,ESE,20,1020
8/02/2020,16.3,23.9,1.8,,,SE,57,10:55,18.4,78,8,SE,20,1020.6,21.5,59,8,SE,39,1018.7
9/02/2020,15.5,18.4,3.4,,,SE,63,14:39,16.8,84,8,ESE,28,1017,17.7,74,8,SE,31,1013.3
10/02/2020,15.4,27.6,60.4,,,ENE,39,21:09,17.2,100,8,S,17,1008.6,25.9,57,8,E,26,1006.5
11/02/2020,17.2,28.7,0,,,NNE,43,14:48,21.6,80,8, ,Calm,1009.1,27.5,48,6,NNW,22,1006.2
12/02/2020,17.3,28.2,0.2,,,ESE,41,12:37,21.7,73,7,SE,11,1011,26.4,50,8,ESE,28,1010
13/02/2020,19.4,27.4,0,,,ENE,43,14:29,20.9,78,8,S,15,1012.5,26.7,54,8,E,26,1009.9
14/02/2020,14.5,29.2,2.6,,,ENE,28,20:03,19.1,76,8,SSE,9,1010.6,27.4,44,,WSW,9,1006.1
15/02/2020,18.1,29.8,0,,,S,54,21:33,19.7,83,8,ENE,6,1006.1,23.7,64,8,WNW,20,1004.7
16/02/2020,15.9,26,6.8,,,ESE,46,16:53,19.2,71,,SE,15,1014.1,24.2,54,6,ENE,22,1012.3
17/02/2020,16.6,26.3,0,,,ENE,33,17:37,18.3,77,8,ESE,9,1014.6,25.2,60,1,NE,15,1010.8
18/02/2020,17.8,31.2,0,,,WNW,57,18:40,20.9,83,8,N,17,1008.6,29.3,46,8,NW,26,1003.7
19/02/2020,14.5,21.1,4,,,WNW,56,14:58,16.4,60,,WNW,22,1003.4,19.5,48,1,WNW,35,1004.3
20/02/2020,11,25.4,0,,,ENE,39,19:22,15.1,59,,SE,11,1010.1,23.5,34,,WNW,13,1009
21/02/2020,12.1,26.5,0,,,E,56,17:04,16.6,71,7,ESE,6,1015.3,24.3,34,,NNW,17,1013.6
22/02/2020,13.9,26.3,0,,,ENE,41,16:29,15.5,68,2,SE,7,1022.9,23.4,45,1,NNE,22,1020.3
23/02/2020,12.7,26.5,0,,,N,26,11:38,17.6,73,, ,Calm,1023.8,24.6,46,6,N,19,1020.7
24/02/2020,13.9,29.7,0,,,ESE,33,17:35,19.2,70,,ESE,9,1020.3,27.8,38,8,WNW,13,1016.4
25/02/2020,12.7,30.6,0,,,NW,37,14:34,18.6,65,, ,Calm,1016.3,29.4,37,1,NW,19,1011.5
26/02/2020,18,29.8,0,,,,,,21.9,69,8,NNW,26,1006.5,28.2,30,1,WNW,41,1003.2
27/02/2020,10.3,26.2,0,,,NNW,39,13:38,14.7,76,5,N,9,1010.3,24.7,23,,NW,24,1006.1
28/02/2020,6.8,28.3,0,,,ENE,50,17:50,13.8,44,,N,6,1010.6,27.2,22,,WNW,7,1009.4
29/02/2020,10.5,26.7,0,,,N,28,16:41,16.3,73,, ,Calm,1016.3,24.6,39,1,WNW,9,1012.8
